year,month,offense,age,age_group,sex,race,weapon
2021,Sep,Murder and Nonnegligent Manslaughter,21,20-24,Male,White,Unarmed
2021,Nov,Aggravated Assault,62,50 or above,Male,White,Firearm-related
2021,Dec,Aggravated Assault,19,Under 20,Male,White,Unarmed
2021,Feb,Aggravated Assault,43,40-49,Female,Black or African American,Unarmed
2021,Jan,Aggravated Assault,38,30-39,Male,White,Unarmed
2021,Jan,Aggravated Assault,47,40-49,Male,White,Unarmed
2021,Jan,Aggravated Assault,30,30-39,Male,White,Unarmed
2021,Jun,Aggravated Assault,38,30-39,Male,Black or African American,Unarmed
2021,Jun,Aggravated Assault,61,50 or above,Male,Black or African American,Unarmed
2021,Feb,Aggravated Assault,32,30-39,Male,White,Unarmed
2021,Aug,Robbery,23,20-24,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,21,20-24,Female,Black or African American,Unarmed
2021,Sep,Aggravated Assault,27,25-29,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,52,50 or above,Female,Black or African American,Other weapon
2021,Jan,Robbery,59,50 or above,Male,White,Unarmed
2021,Jan,Robbery,24,20-24,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,37,30-39,Male,Black or African American,Unarmed
2021,Feb,Aggravated Assault,29,25-29,Male,White,Unarmed
2021,Feb,Robbery,34,30-39,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,27,25-29,Female,White,Unarmed
2021,Feb,Aggravated Assault,28,25-29,Male,White,Other weapon
2021,Feb,Aggravated Assault,29,25-29,Male,Black or African American,Unarmed
2021,Feb,Aggravated Assault,28,25-29,Male,White,Unarmed
2021,Apr,Aggravated Assault,12,Under 20,Male,White,Unarmed
2021,May,Robbery,28,25-29,Male,Black or African American,Unarmed
2021,May,Robbery,23,20-24,Male,Black or African American,Unarmed
2021,May,Robbery,22,20-24,Male,Black or African American,Unarmed
2021,May,Robbery,25,25-29,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,39,30-39,Male,Black or African American,Unarmed
2021,Mar,Robbery,39,30-39,Male,White,Unarmed
2021,Mar,Aggravated Assault,23,20-24,Male,Black or African American,Unarmed
2021,May,Robbery,33,30-39,Male,White,Unarmed
2021,Apr,Aggravated Assault,22,20-24,Male,White,Unarmed
2021,Apr,Aggravated Assault,52,50 or above,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,43,40-49,Male,White,Unarmed
2021,Jun,Aggravated Assault,33,30-39,Male,White,Unarmed
2021,Jun,Aggravated Assault,38,30-39,Male,White,Unarmed
2021,Apr,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Apr,Aggravated Assault,35,30-39,Male,White,Unarmed
2021,Jun,Aggravated Assault,33,30-39,Female,White,Unarmed
2021,Jun,Aggravated Assault,49,40-49,Female,White,Unarmed
2021,May,Aggravated Assault,20,20-24,Female,Black or African American,Unarmed
2021,Aug,Robbery,27,25-29,Male,Black or African American,Unarmed
2021,Jun,Aggravated Assault,37,30-39,Male,White,Other weapon
2021,Jun,Aggravated Assault,61,50 or above,Male,White,Unarmed
2021,Jun,Aggravated Assault,61,50 or above,Male,White,Unarmed
2021,Jun,Aggravated Assault,17,Under 20,Male,Black or African American,Other weapon
2021,Aug,Aggravated Assault,16,Under 20,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,61,50 or above,Male,Black or African American,Other weapon
2021,Aug,Robbery,41,40-49,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,58,50 or above,Male,White,Unarmed
2021,Jul,Aggravated Assault,47,40-49,Male,White,Unarmed
2021,Sep,Robbery,55,50 or above,Male,Black or African American,Unarmed
2021,Sep,Robbery,29,25-29,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,60,50 or above,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,51,50 or above,Male,White,Unarmed
2021,Sep,Aggravated Assault,30,30-39,Male,White,Other weapon
2021,Sep,Aggravated Assault,22,20-24,Male,White,Other weapon
2021,Sep,Aggravated Assault,23,20-24,Male,Black or African American,Other weapon
2021,Oct,Aggravated Assault,37,30-39,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,41,40-49,Male,White,Unarmed
2021,Nov,Aggravated Assault,41,40-49,Female,Black or African American,Unarmed
2021,Nov,Robbery,14,Under 20,Female,Black or African American,Unarmed
2021,Nov,Robbery,15,Under 20,Female,White,Unarmed
2021,Oct,Aggravated Assault,29,25-29,Male,Black or African American,Unarmed
2021,Nov,Robbery,45,40-49,Female,White,Unarmed
2021,Nov,Aggravated Assault,28,25-29,Male,White,Unarmed
2021,Nov,Aggravated Assault,38,30-39,Female,White,Other weapon
2021,Nov,Aggravated Assault,29,25-29,Male,White,Unarmed
2021,Dec,Aggravated Assault,23,20-24,Male,Black or African American,Unarmed
2021,Dec,Aggravated Assault,45,40-49,Male,White,Unarmed
2021,Dec,Aggravated Assault,50,50 or above,Male,Black or African American,Unarmed
2021,Dec,Aggravated Assault,20,20-24,Male,White,Unarmed
2021,Dec,Rape,21,20-24,Male,White,Unarmed
2021,Dec,Rape,30,30-39,Male,Black or African American,Unarmed
2021,Dec,Robbery,37,30-39,Female,Black or African American,Unarmed
2021,Dec,Murder and Nonnegligent Manslaughter,36,30-39,Male,White,Unarmed
2021,Jun,Aggravated Assault,30,30-39,Male,White,Unarmed
2021,Jul,Aggravated Assault,27,25-29,Male,Black or African American,Firearm-related
2021,Jun,Rape,21,20-24,Male,White,Unarmed
2021,Mar,Aggravated Assault,28,25-29,Male,White,Unarmed
2021,Mar,Aggravated Assault,30,30-39,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,22,20-24,Male,White,Unarmed
2021,Apr,Aggravated Assault,24,20-24,Male,White,Unarmed
2021,May,Aggravated Assault,55,50 or above,Male,White,Unarmed
2021,May,Aggravated Assault,39,30-39,Female,White,Unarmed
2021,Sep,Aggravated Assault,34,30-39,Male,White,Unarmed
2021,Jul,Aggravated Assault,34,30-39,Male,White,Unarmed
2021,Oct,Aggravated Assault,29,25-29,Male,White,Unarmed
2021,Dec,Aggravated Assault,52,50 or above,Male,White,Unarmed
2021,Sep,Aggravated Assault,31,30-39,Female,White,Unarmed
2021,Nov,Aggravated Assault,26,25-29,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,25,25-29,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,44,40-49,Female,Black or African American,Other weapon
2021,Dec,Aggravated Assault,60,50 or above,Male,White,Unarmed
2021,Jan,Robbery,19,Under 20,Male,Black or African American,Firearm-related
2021,Jan,Aggravated Assault,37,30-39,Male,Black or African American,Other weapon
2021,Jan,Aggravated Assault,20,20-24,Male,White,Unarmed
2021,Jan,Aggravated Assault,38,30-39,Male,Black or African American,Firearm-related
2021,Feb,Aggravated Assault,46,40-49,Male,White,Unarmed
2021,Jan,Aggravated Assault,27,25-29,Male,White,Other weapon
2021,Feb,Aggravated Assault,38,30-39,Female,White,Unarmed
2021,Jan,Robbery,24,20-24,Male,Black or African American,Firearm-related
2021,Mar,Aggravated Assault,29,25-29,Male,White,Unarmed
2021,Jan,Robbery,25,25-29,Male,Black or African American,Unarmed
2021,Jan,Murder and Nonnegligent Manslaughter,64,50 or above,Male,White,Firearm-related
2021,Apr,Aggravated Assault,28,25-29,Male,White,Other weapon
2021,Jun,Aggravated Assault,38,30-39,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,May,Aggravated Assault,20,20-24,Male,White,Unarmed
2021,Jan,Robbery,46,40-49,Male,Black or African American,Firearm-related
2021,Jan,Aggravated Assault,43,40-49,Male,Black or African American,Other weapon
2021,Jul,Murder and Nonnegligent Manslaughter,73,50 or above,Male,White,Unarmed
2021,Jan,Robbery,26,25-29,Male,Black or African American,Firearm-related
2021,Jan,Robbery,23,20-24,Male,Black or African American,Firearm-related
2021,Jun,Aggravated Assault,32,30-39,Male,White,Unarmed
2021,Jan,Aggravated Assault,27,25-29,Male,Black or African American,Firearm-related
2021,Jul,Aggravated Assault,31,30-39,Male,White,Unarmed
2021,Jan,Aggravated Assault,46,40-49,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,28,25-29,Male,Black or African American,Other weapon
2021,Jan,Aggravated Assault,27,25-29,Male,White,Other weapon
2021,Feb,Aggravated Assault,25,25-29,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,34,30-39,Female,White,Firearm-related
2021,Jan,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,25,25-29,Male,White,Firearm-related
2021,Oct,Robbery,46,40-49,Male,Black or African American,Unarmed
2021,Oct,Robbery,41,40-49,Female,White,Unarmed
2021,Jan,Aggravated Assault,47,40-49,Male,Black or African American,Other weapon
2021,Jan,Aggravated Assault,28,25-29,Male,Black or African American,Other weapon
2021,Dec,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,25,25-29,Male,Black or African American,Other weapon
2021,Jan,Aggravated Assault,28,25-29,Male,Black or African American,Firearm-related
2021,Jan,Aggravated Assault,36,30-39,Female,White,Other weapon
2021,Feb,Aggravated Assault,34,30-39,Male,Black or African American,Unarmed
2021,Mar,Aggravated Assault,55,50 or above,Female,White,Unarmed
2021,Feb,Aggravated Assault,34,30-39,Female,White,Other weapon
2021,Feb,Aggravated Assault,33,30-39,Male,Black or African American,Firearm-related
2021,Feb,Robbery,25,25-29,Male,Black or African American,Firearm-related
2021,Feb,Robbery,26,25-29,Female,Black or African American,Firearm-related
2021,Feb,Robbery,26,25-29,Male,Black or African American,Firearm-related
2021,Apr,Aggravated Assault,31,30-39,Male,White,Unarmed
2021,Apr,Aggravated Assault,41,40-49,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,43,40-49,Female,White,Unarmed
2021,Feb,Aggravated Assault,24,20-24,Male,Black or African American,Other weapon
2021,Apr,Aggravated Assault,34,30-39,Male,White,Unarmed
2021,Feb,Aggravated Assault,20,20-24,Male,White,Other weapon
2021,Apr,Aggravated Assault,38,30-39,Male,Black or African American,Unarmed
2021,Feb,Aggravated Assault,23,20-24,Female,Black or African American,Other weapon
2021,May,Aggravated Assault,41,40-49,Male,White,Unarmed
2021,May,Aggravated Assault,35,30-39,Male,White,Unarmed
2021,Feb,Aggravated Assault,44,40-49,Male,White,Other weapon
2021,Feb,Aggravated Assault,48,40-49,Male,Black or African American,Other weapon
2021,Feb,Aggravated Assault,33,30-39,Male,White,Unarmed
2021,Jun,Robbery,44,40-49,Male,White,Unarmed
2021,Mar,Robbery,26,25-29,Male,Black or African American,Firearm-related
2021,Feb,Aggravated Assault,37,30-39,Male,Black or African American,Other weapon
2021,Jun,Aggravated Assault,52,50 or above,Male,Black or African American,Unarmed
2021,Jun,Aggravated Assault,32,30-39,Male,Black or African American,Unarmed
2021,Feb,Aggravated Assault,37,30-39,Female,White,Other weapon
2021,Feb,Aggravated Assault,33,30-39,Male,Black or African American,Other weapon
2021,Feb,Aggravated Assault,48,40-49,Male,White,Other weapon
2021,Sep,Aggravated Assault,40,40-49,Female,Black or African American,Unarmed
2021,Mar,Aggravated Assault,28,25-29,Female,Black or African American,Unarmed
2021,Feb,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed
2021,Feb,Aggravated Assault,41,40-49,Male,Black or African American,Unarmed
